['Bulgaria', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 1.8, 2.8, 3.0, 8.2, 16.6, 24.8, 34.0, 42.4, 53.2, 62.8, 77.4, 88.8, 99.4, 113.2, 128.2, 136.4, 147.2, 163.6, 172.4, 189.4, 206.8, 220.6, 238.0, 258.4, 276.6, 299.4, 327.6, 356.8, 395.0, 477.2]
['Burkina Faso', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8, 5.6, 13.0, 16.6, 23.4, 29.6, 36.6, 40.8, 42.8, 46.2, 48.6, 51.0, 51.4, 52.0, 53.0, 53.0, 53.0, 53.0, 53.0, 53.0, 53.0, 53.0, 53.0, 53.0, 53.0, 53.0, 53.0, 53.2, 54.0]
['Burma', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 1.0, 2.6, 4.0, 4.8, 5.0, 5.6, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]
['Burundi', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
['Cabo Verde', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.2, 3.0, 3.2, 4.0, 4.8, 5.0, 6.2, 7.4, 8.0, 12.2, 15.6, 18.0, 19.0, 20.2, 21.4, 22.4, 24.4, 32.8]
['Cambodia', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
['Cameroon', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 5.2, 8.4, 10.6, 15.4, 34.2, 47.6, 59.8, 72.8, 112.6, 136.0, 144.4, 164.6, 181.8, 201.4, 212.0, 224.8, 282.2, 310.0, 313.0, 313.0, 349.8, 359.0, 373.0, 383.2, 389.8, 391.0, 399.2]
['Central African Republic', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 1.2, 4.0, 5.0, 6.6, 17.8, 33.6, 44.8, 47.6, 52.2, 53.0, 54.2, 57.6, 59.0, 59.0, 60.8]
['Chad', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8, 12.8, 29.6, 45.2, 55.4, 60.2, 64.8, 66.4, 70.2, 72.4, 74.0, 74.0, 74.0, 74.0, 74.0, 74.8, 75.0, 75.0, 75.0, 75.0, 76.0]
['Chile', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 3.2, 9.8, 27.6, 57.2, 90.6, 132.2, 174.4, 216.4, 266.6, 303.6, 372.8, 514.0, 717.6, 945.2, 1276.0, 2040.0, 3060.8, 3845.4, 4624.0, 5437.4, 6044.8, 6570.8, 7027.8, 8243.6, 8834.2, 9238.8, 9610.0, 10232.2]
['Colombia', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 4.4, 12.2, 31.4, 70.6, 124.6, 176.6, 224.6, 281.4, 359.4, 444.4, 527.0, 612.2, 728.0, 861.4, 1051.0, 1315.4, 1603.6, 1957.2, 2419.2, 3107.2, 3778.8, 4547.0, 5464.0, 6499.6, 7694.2, 9128.0, 10683.4, 13820.6]
['Comoros', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 4.2, 6.2, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]
['Congo (Brazzaville)', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.2, 5.0, 5.0, 6.0, 6.0, 8.0, 9.6, 10.2, 13.4, 15.2, 16.0, 19.2, 20.0, 22.8, 24.6, 27.0, 35.0, 37.0, 42.8, 45.8, 47.0, 49.0, 50.4, 53.4, 55.6, 59.6]
['Congo (Kinshasa)', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 2.2, 7.4, 16.0, 18.8, 20.6, 24.6, 26.2, 30.2, 33.8, 39.2, 51.0, 61.0, 64.8, 69.4, 75.6, 88.2, 104.8, 118.2, 136.8, 159.2, 178.8, 184.8, 190.0, 193.4, 199.8, 209.0, 215.0, 229.2]
['Costa Rica', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 2.0, 2.0, 2.0, 2.8, 3.4, 5.0, 6.0, 6.0, 6.0, 6.4, 8.4, 10.0, 10.0, 10.0, 10.0, 10.8, 12.0, 12.0, 12.0, 14.4, 18.0, 24.4, 33.8, 54.2, 80.8, 123.4, 163.6, 263.0]
['"Cote dIvoire"', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 1.8, 3.2, 5.8, 9.0, 14.0, 14.2, 17.0, 20.6, 23.6, 28.2, 29.8, 32.2, 34.4, 37.8, 44.4, 48.8, 57.2, 66.0, 70.4, 77.8, 84.8, 89.8, 93.4, 97.8, 102.2, 106.0]
['Croatia', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 1.8, 5.8, 11.6, 19.8, 29.4, 43.4, 51.6, 66.6, 80.8, 88.0, 93.8, 95.8, 99.6, 102.4, 103.0, 104.8, 106.8, 107.0, 107.0, 107.0, 111.2, 114.4, 119.2, 120.4, 127.4, 140.0, 149.2, 160.4]
['Cuba', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.4, 4.4, 7.0, 13.8, 22.2, 34.2, 47.4, 59.4, 68.0, 75.0, 78.8, 79.2, 81.6, 82.4, 83.0, 83.0, 84.0, 84.6, 85.0, 85.8, 86.0, 86.0, 87.0, 87.0, 87.0, 87.0, 87.2, 88.2]
['Cyprus', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 3.0, 6.8, 10.0, 9.6, 11.8, 12.0, 13.6, 15.0, 15.0, 15.4, 16.8, 17.0, 17.0, 17.0, 17.0, 18.0, 18.0, 18.6, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.8]
['Czechia', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 5.6, 24.0, 60.2, 109.4, 155.4, 187.0, 214.0, 230.6, 252.8, 276.2, 291.4, 301.4, 315.0, 318.8, 324.4, 328.0, 328.8, 333.8, 339.8, 348.6, 350.8, 351.2, 353.4, 357.8, 365.4, 374.2, 383.6, 391.4]
['Diamond Princess', 0.0, 0.0, 0.8, 3.0, 5.6, 6.0, 6.4, 7.0, 7.4, 9.6, 10.2, 11.0, 11.0, 11.6, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0]
['Djibouti', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 2.0, 2.0, 2.0, 2.0, 2.2, 3.0, 3.4, 7.4, 11.6, 20.8, 25.4, 30.6, 40.4, 43.8, 49.2, 52.6, 55.0, 55.4, 56.0, 56.0, 57.6, 58.0, 58.6, 59.0]
['Dominica', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
['Dominican Republic', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 2.0, 9.8, 43.4, 72.8, 117.0, 183.6, 224.6, 268.6, 295.0, 344.2, 383.8, 417.0, 439.4, 460.0, 489.4, 515.6, 541.4, 580.6, 637.0, 679.0, 727.2, 774.8, 832.0, 903.8, 965.6, 1020.2, 1103.2, 1180.8, 1369.4]
